"","PD","DC-ew","Full","DC-opt_osqp","CSL"
"5000",0.235563273604801,0.294051705022854,0.194162047269582,0.231506717449388,0.270100140057182
"10000",0.196858953729944,0.20013404583472,0.168765185052821,0.170679744817096,0.215383668413398
"20000",0.236544180064709,0.177961789568252,0.173197320001417,0.164652208584766,0.197755202877299
"5000",0.263044250795155,0.319630651650804,0.244907431860757,0.259475988137665,0.856694354430432
"10000",0.208060608258105,0.17732301462254,0.164112000540215,0.166840560459705,0.233898463936611
"20000",0.203813490686799,0.169348522424385,0.1678348365839,0.163592048638288,0.201703255259044
"5000",0.23228601958681,0.239707621926991,0.195522113859314,0.181980368648581,0.31304154929588
"10000",0.189828974125183,0.189981223714432,0.169679946260812,0.17017177547952,0.2362277119278
"20000",0.233273912432122,0.170161529531914,0.167107328397992,0.162458832713521,0.20174631027259
"5000",1.00422826788617,0.297119078275267,0.17568932924881,0.164895288786436,0.334998690531559
"10000",0.212299606671853,0.178737413265468,0.174421259366552,0.171011132720844,0.23457605553959
"20000",0.23520716948522,0.173036760954226,0.167227750708223,0.162834661667918,0.162458844234111
"5000",0.999746095826654,0.283320525841488,0.197305301709725,0.175937295752151,0.264264043704625
"10000",0.21114027407323,0.180189137521991,0.184726805616668,0.170886114925015,0.235598469396999
"20000",0.234228647580898,0.172511861624926,0.166707882243623,0.163188621495714,0.161348962424418
"5000",0.286769952242647,0.190387980268024,0.19290895507674,0.169103686391647,0.253729017789583
"10000",0.221483600034796,0.193678834112895,0.197947994560809,0.171977224816426,0.16279940208293
"20000",0.216596924336897,0.168978330291174,0.167928796968523,0.163100319808706,0.168601584505857
"5000",0.27934001302305,0.233895171133488,0.218577571712899,0.176714913370166,0.264915645754451
"10000",0.241236265719287,0.200414899106546,0.223169141474501,0.186795082353938,0.16025541853483
"20000",0.201249160773291,0.171665410085684,0.169483640728022,0.165196700824303,0.166102833214901
"5000",0.302039476481663,0.256433585848846,0.209132928974334,0.182181258747619,0.31900831247553
"10000",0.254039102045042,0.193028787628442,0.221376036797812,0.181442402356182,0.17135373013726
"20000",0.19086669292251,0.176378679385217,0.164525190154932,0.164939288760376,0.164495573792793
"5000",1.00446823964818,0.225689168658763,0.182929035337536,0.196179413995604,0.292246473567742
"10000",0.262507501697082,0.207568917059437,0.199056244359251,0.187029347075463,0.160202533703417
"20000",0.198839332073758,0.204942772186186,0.16152816036767,0.160949363005828,0.159835744890732
